id,theme,slug,logo_url,banner_url,logo_file,banner_file
23,LEGO® Batman™,lego-batman-sets,https://www.lego.com/cdn/cs/set/assets/blt8be6aa7fa11cd8bc/batman_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltd51eec95d3b791a9/Batman-202401-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_23.png,themes_assets\banner_23.png
24,LEGO® Education,lego-education,https://www.lego.com/cdn/cs/set/assets/blt2c69a04574369a00/Education-202401-Theme-Preview.jpg?fit=bounds&format=png&width=420&height=200&dpr=2,https://www.lego.com/cdn/cs/set/assets/blt2c69a04574369a00/Education-202401-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_24.png,themes_assets\banner_24.png
25,LEGO® Icons,lego-icons,https://www.lego.com/cdn/cs/set/assets/blt7c9332ed5ec6017d/icons-logo-pos-600w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt083b366c68c71834/Theme-ICONS-10365-202509.png?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_25.png,themes_assets\banner_25.png
26,LEGO® Le Seigneur des Anneaux™,lord-of-the-rings,https://www.lego.com/cdn/cs/set/assets/blt55c20b472c82608d/LOTR-logo-horizontal-600w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt3c8f4e7069d93bfb/LOTR-202401-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_26.png,themes_assets\banner_26.png
27,LEGO® Marvel,marvel,https://www.lego.com/cdn/cs/set/assets/blt00cd302276575b75/marvel_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt1576c77c9cb7bb04/Theme-MARVEL-76326-202508.png?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_27.png,themes_assets\banner_27.png
28,LEGO® Minecraft®,minecraft,https://www.lego.com/cdn/cs/set/assets/blt35f5e18392de0f1e/minecraft_silver_logo_pos.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltf35103c1ce3a5953/Minecraft-202401-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_28.png,themes_assets\banner_28.png
29,LEGO® Minifigures,minifigures,https://www.lego.com/cdn/cs/set/assets/blte43d4d6138b4cf23/minifigures_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blte43d4d6138b4cf23/minifigures_logo_pos_300w.png?format=png&height=35&dpr=1,themes_assets\logo_29.png,themes_assets\banner_29.png
30,LEGO® Monkie Kid™,monkie-kid,https://www.lego.com/cdn/cs/set/assets/blt698187fe0dc985a7/monkieKid_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt698187fe0dc985a7/monkieKid_logo_pos_300w.png?format=png&height=35&dpr=1,themes_assets\logo_30.png,themes_assets\banner_30.png
31,Collection Nike x LEGO®,nike,,,,
32,LEGO® NINJAGO®,ninjago,https://www.lego.com/cdn/cs/set/assets/blta793c3015971c98e/ninjago_logo_neg_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blta793c3015971c98e/ninjago_logo_neg_300w.png?format=png&height=35&dpr=1,themes_assets\logo_32.png,themes_assets\banner_32.png
33,LEGO® ONE PIECE,one-piece,https://www.lego.com/cdn/cs/set/assets/blt62e8838a922a01de/One_Piece_Logo_Partner_600W.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt62e8838a922a01de/One_Piece_Logo_Partner_600W.png?format=png&height=35&dpr=1,themes_assets\logo_33.png,themes_assets\banner_33.png
34,LEGO® Powered UP,powered-up,https://www.lego.com/cdn/cs/set/assets/bltb4f40ffcc138dd20/poweredup_logo_horz_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltb4f40ffcc138dd20/poweredup_logo_horz_pos_300w.png?format=png&height=35&dpr=1,themes_assets\logo_34.png,themes_assets\banner_34.png
35,LEGO® SERIOUS PLAY®,serious-play,https://www.lego.com/cdn/cs/set/assets/bltcac445f8807d12a1/serious_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltcac445f8807d12a1/serious_logo_pos_300w.png?format=png&height=35&dpr=1,themes_assets\logo_35.png,themes_assets\banner_35.png
36,LEGO® Sonic,sonic-the-hedgehog,https://www.lego.com/cdn/cs/set/assets/bltc479226b656ee1fd/sonicTheHedgehog2023_logo_neg.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltc479226b656ee1fd/sonicTheHedgehog2023_logo_neg.png?format=png&height=35&dpr=1,themes_assets\logo_36.png,themes_assets\banner_36.png
37,LEGO® Speed Champions,speed-champions,https://www.lego.com/cdn/cs/set/assets/blt9d59fbac9f49f610/speedChampions_logo_white_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt62bccdaa89fa2bc7/SpeedChamps-202406-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_37.png,themes_assets\banner_37.png
38,LEGO® Star Wars™,star-wars,https://www.lego.com/cdn/cs/set/assets/bltfb987f8b1414454f/starWars_logo_black_stroke_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blte42d5821f76778ca/Theme-StarWars-75407-202505.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_38.png,themes_assets\banner_38.png
39,LEGO® Super Mario™,super-mario,https://www.lego.com/cdn/cs/set/assets/blt2dc55864221c88f5/SuperMario-logo-pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt214ff2baef71ba56/Super-Mario-202410-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_39.png,themes_assets\banner_39.png
40,LEGO® Technic,technic,https://www.lego.com/cdn/cs/set/assets/blt76e937a89531c42c/technic_logo_pos_100h.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt3a34f228fac797ff/Technic-202501-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_40.png,themes_assets\banner_40.png
41,LEGO® Mercredi,wednesday,https://www.lego.com/cdn/cs/set/assets/blt6b69435a0b8b8d0a/wednesday-logo-k-600w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt36cf3e6eff488895/Theme-Wednesday-75686-202510.png?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_41.png,themes_assets\banner_41.png
42,LEGO® Wicked,wicked,https://www.lego.com/cdn/cs/set/assets/blt31d58920dc3c6c4a/Theme-Wicked-75685-202509.png?fit=bounds&format=png&width=420&height=200&dpr=1.5,https://www.lego.com/cdn/cs/set/assets/blt31d58920dc3c6c4a/Theme-Wicked-75685-202509.png?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_42.png,themes_assets\banner_42.png
